treeID,Z,TreeSpecies,coords.x1,coords.x2,DBH,Biomass
1,2.72,3,293752.125,6808799.875,0,0
2,6.01,3,293762.625,6808799.875,7.375843582,9.634473519
3,6.28,3,293764.875,6808799.875,7.756883686,10.99384995
4,6.36,3,293786.875,6808799.875,7.871765203,11.42759973
5,6.33,3,293819.875,6808799.875,7.828574732,11.26321179
6,6.7,3,293824.125,6808799.875,8.370899066,13.44446504
7,2.29,3,293874.875,6808799.875,2.615983201,0.956303199
8,4.62,3,293885.625,6808799.875,5.546065192,4.673231464
9,2.49,3,294058.625,6808799.875,2.889613092,1.141236638
10,3.31,3,294214.375,6808799.875,3.931975309,2.111169752
11,3.95,3,294254.625,6808799.875,4.716368377,3.173590692
12,4.46,3,294285.375,6808799.875,5.345986185,4.273052979
13,10.18,3,294577.625,6808799.875,15.00376943,63.22491953
14,21.73,2,294585.375,6808799.875,67.19088243,1558.350118
15,19.34,2,294619.875,6808799.875,46.16159917,826.4939539
16,20.5,2,294641.375,6808799.875,54.84941908,1125.300897
17,18.49,2,294646.375,6808799.875,41.03430017,658.3127105
18,8.01,3,294701.625,6808799.875,10.49095409,24.5638689
19,15.48,2,294740.625,6808799.875,28.08230567,289.8520026
20,18.54,3,294756.375,6808799.875,116.9670539,2098.240286
21,21.65,2,294765.625,6808799.875,66.25797764,1525.755198
22,18.02,3,294773.375,6808799.875,91.25588807,1681.550056
23,18.72,2,294779.125,6808799.875,42.33685346,700.2080358
24,17.99,2,294783.875,6808799.875,38.39222173,575.4577809
25,19.79,2,294790.875,6808799.875,49.26619119,931.8180521
26,14.97,2,294798.375,6808799.875,26.43317486,251.4500242
27,7.31,2,294841.875,6808799.875,10.46899381,23.02332741
28,7.04,2,294851.125,6808799.875,10.07684059,20.81955523
29,7.87,2,294858.375,6808799.875,11.30255254,28.1998531
30,11.24,2,294889.625,6808799.875,17.13920046,84.93166637
31,13.55,2,294923.875,6808799.875,22.39740476,168.1439407
32,15.01,2,294943.625,6808799.875,26.55828509,254.2792043
33,21.09,3,294953.125,6808799.875,439.7804538,3934.055154
34,11.7,3,294970.125,6808799.875,19.37033751,120.0241202
35,16.15,2,294988.625,6808799.875,30.44343276,348.7904631
36,15.39,1,295053.125,6808799.875,20.22426475,166.5484897
37,9.26,2,295061.625,6808799.875,13.51486282,45.36305563
38,8.04,2,295065.125,6808799.875,11.56151315,29.94789261
39,10.3,2,295085.875,6808799.875,15.33737628,63.44069843
40,18.64,2,295093.375,6808799.875,41.87715315,685.349969
41,18.51,2,295111.375,6808799.875,41.14527215,661.8568796
42,3.04,2,295132.625,6808799.875,4.572537282,3.092051402
43,9.64,2,295199.125,6808799.875,14.16208849,51.36633998
44,4.39,2,294023.625,6808799.625,6.439507108,6.692850479
45,18.27,2,294604.625,6808799.625,39.8411867,620.522616
46,16.3,2,294715.875,6808799.625,31.00564434,363.4650551
47,21.9,2,294732.625,6808799.625,69.24590266,1629.922661
48,19.13,2,294763.125,6808799.625,44.81144746,781.4150114
49,17.64,2,294776.625,6808799.625,36.68205026,523.563672
50,12.41,2,294921.875,6808799.625,19.63380927,120.6564896
51,9.67,2,294927.125,6808799.625,14.21406333,51.86820184
52,20.25,3,294963.375,6808799.625,790.7021554,4386.17717
53,9.05,3,294972.875,6808799.625,12.46225537,38.87944069
54,18.8,2,295096.125,6808799.625,42.80385817,715.3792339
55,9.83,2,295164.125,6808799.625,14.49351767,54.61728297
56,2.89,2,293679.625,6808799.375,4.351622063,2.791536707
57,4.08,2,294221.625,6808799.375,6.021523113,5.706296467
58,18.36,2,294611.625,6808799.375,40.32325688,635.7206606
59,10.03,2,294932.125,6808799.375,14.84831839,58.23123567
60,15.07,2,295005.375,6808799.375,26.74725975,258.5792521
61,18.07,2,295012.125,6808799.375,38.79858086,587.9994322
62,18.97,2,295022.875,6808799.375,43.82132523,748.6880057
63,2.3,2,293684.875,6808799.125,3.418886561,1.764969576
64,5.36,2,294224.875,6808799.125,7.74296915,10.54269175
65,3.62,2,294319.875,6808799.125,5.3931992,4.427303781
66,17.7,2,294623.375,6808799.125,36.96766701,532.12665
67,20.24,2,294660.875,6808799.125,52.69715127,1050.257176
68,7.08,2,294680.875,6808799.125,10.13456816,21.13486888
69,21.12,2,294723.375,6808799.125,60.57265646,1326.216262
70,16.14,2,294759.875,6808799.125,30.40641249,347.8325056
71,12.57,2,294894.125,6808799.125,20.00009121,126.4794731
72,16.9,2,294961.125,6808799.125,33.39250232,428.2787977
73,16.78,1,295038.375,6808799.125,22.8992601,226.4927245
74,11.23,1,295057.875,6808799.125,13.7761674,63.37583988
75,15.63,2,295120.125,6808799.125,28.59072261,302.1618891
76,7.38,2,294238.875,6808798.875,10.57164857,23.62435389
77,15.6,2,295017.125,6808798.875,28.48814719,299.6609657
78,22.12,2,295028.125,6808798.875,72.06242211,1727.404009
